"","dt","LandAverageTemperature","LandAverageTemperatureUncertainty","LandMaxTemperature","LandMaxTemperatureUncertainty","LandMinTemperature","LandMinTemperatureUncertainty","LandAndOceanAverageTemperature","LandAndOceanAverageTemperatureUncertainty","world_emission","world_emission_month_rep"
"74",74,3.29,0.111,9.005,0.132,-2.421,0.151,13.81,0.062,NA,12009447.002
"75",75,5.527,0.125,11.296,0.119,-0.42,0.16,14.445,0.066,NA,12009447.002
"76",76,8.161,0.068,13.951,0.104,2.331,0.106,15.254,0.059,NA,12009447.002
"77",77,11.2,0.064,17.07,0.213,5.189,0.171,15.987,0.061,NA,12009447.002
"78",78,13.587,0.161,19.378,0.251,7.723,0.175,16.693,0.076,NA,12009447.002
"79",79,14.569,0.112,20.392,0.1,8.823,0.126,17.033,0.07,NA,12009447.002
"80",80,13.731,0.101,19.627,0.205,8.087,0.111,16.826,0.068,NA,12009447.002
"81",81,12.133,0.107,18.028,0.085,6.482,0.135,16.273,0.069,NA,12009447.002
"82",82,9.153,0.073,14.777,0.081,3.555,0.112,15.315,0.061,NA,12009447.002
"83",83,5.969,0.074,11.58,0.084,0.412,0.134,14.362,0.058,NA,12009447.002
"84",84,3.382,0.052,8.758,0.084,-1.927,0.13,13.683,0.057,NA,12009447.002
"85",85,2.71,0.07,8.395,0.062,-2.869,0.14,13.527,0.055,12389685.566,12389685.566
"86",86,2.905,0.126,8.619,0.156,-2.772,0.159,13.688,0.064,NA,12389685.566
"87",87,5.396,0.079,11.222,0.107,-0.356,0.075,14.465,0.057,NA,12389685.566
"88",88,8.458,0.11,14.376,0.146,2.5,0.228,15.3,0.061,NA,12389685.566
"89",89,11.632,0.077,17.505,0.172,5.784,0.167,16.279,0.061,NA,12389685.566
"90",90,13.194,0.071,18.911,0.145,7.445,0.152,16.665,0.057,NA,12389685.566
"91",91,14.331,0.169,20.142,0.153,8.706,0.142,16.97,0.078,NA,12389685.566
"92",92,13.821,0.107,19.593,0.242,8.172,0.245,16.84,0.064,NA,12389685.566
"93",93,12.054,0.058,17.852,0.107,6.269,0.166,16.244,0.06,NA,12389685.566
"94",94,9.809,0.045,15.479,0.08,4.178,0.086,15.469,0.056,NA,12389685.566
"95",95,6.176,0.042,11.505,0.085,0.808,0.147,14.353,0.048,NA,12389685.566
"96",96,3.915,0.05,9.279,0.056,-1.42,0.114,13.73,0.05,NA,12389685.566
"97",97,2.353,0.094,7.867,0.102,-3.062,0.075,13.389,0.054,13017193.607,13017193.607
"98",98,3.245,0.124,8.88,0.098,-2.319,0.082,13.724,0.059,NA,13017193.607
"99",99,6.117,0.069,11.907,0.126,0.285,0.068,14.581,0.052,NA,13017193.607
"100",100,8.455,0.143,14.427,0.115,2.596,0.281,15.261,0.064,NA,13017193.607
"101",101,11.068,0.111,16.76,0.16,5.176,0.201,15.99,0.062,NA,13017193.607
"102",102,13.204,0.187,18.873,0.16,7.318,0.213,16.696,0.073,NA,13017193.607
"103",103,14.026,0.089,19.734,0.137,8.431,0.105,16.887,0.058,NA,13017193.607
"104",104,13.524,0.08,19.238,0.079,7.892,0.14,16.794,0.057,NA,13017193.607
"105",105,11.62,0.19,17.348,0.223,5.942,0.152,16.155,0.076,NA,13017193.607
"106",106,9.453,0.138,15.086,0.127,3.787,0.263,15.481,0.066,NA,13017193.607
"107",107,5.891,0.062,11.3,0.105,0.357,0.135,14.418,0.051,NA,13017193.607
"108",108,3.24,0.053,8.551,0.135,-2.116,0.103,13.791,0.05,NA,13017193.607
"109",109,1.966,0.053,7.229,0.091,-3.298,0.116,13.518,0.048,13797116.836,13797116.836
"110",110,2.45,0.092,7.969,0.126,-3.191,0.151,13.747,0.052,NA,13797116.836
"111",111,5.131,0.106,11.018,0.106,-0.824,0.213,14.576,0.056,NA,13797116.836
"112",112,8.576,0.125,14.286,0.201,2.69,0.237,15.518,0.062,NA,13797116.836
"113",113,11.354,0.077,17.064,0.157,5.565,0.241,16.329,0.053,NA,13797116.836
"114",114,13.475,0.119,19.208,0.256,7.568,0.34,16.83,0.062,NA,13797116.836
"115",115,14.218,0.109,20.024,0.226,8.666,0.163,16.924,0.059,NA,13797116.836
"116",116,13.804,0.08,19.628,0.16,8.124,0.224,16.945,0.056,NA,13797116.836
"117",117,12.048,0.057,17.67,0.112,6.421,0.141,16.337,0.053,NA,13797116.836
"118",118,9.489,0.065,14.888,0.155,4.05,0.269,15.445,0.056,NA,13797116.836
"119",119,6.42,0.053,11.974,0.125,0.923,0.141,14.524,0.051,NA,13797116.836
"120",120,4.21,0.086,9.587,0.103,-1.139,0.113,13.993,0.054,NA,13797116.836
"121",121,2.836,0.084,8.288,0.117,-2.584,0.099,13.711,0.052,14788798.314,14788798.314
"122",122,3.735,0.082,9.543,0.108,-2.02,0.127,14.022,0.053,NA,14788798.314
"123",123,5.272,0.114,11.066,0.18,-0.545,0.211,14.503,0.058,NA,14788798.314
"124",124,8.603,0.066,14.383,0.179,2.739,0.113,15.44,0.051,NA,14788798.314
"125",125,11.206,0.099,17.165,0.121,5.402,0.107,16.104,0.055,NA,14788798.314
"126",126,13.513,0.086,19.368,0.203,7.599,0.189,16.672,0.056,NA,14788798.314
"127",127,14.395,0.1,20.254,0.114,8.723,0.099,16.912,0.058,NA,14788798.314
"128",128,13.658,0.062,19.43,0.179,8.097,0.122,16.748,0.052,NA,14788798.314
"129",129,12.277,0.063,17.879,0.089,6.62,0.124,16.335,0.055,NA,14788798.314
"130",130,9.348,0.042,14.96,0.089,3.787,0.103,15.42,0.051,NA,14788798.314
"131",131,6.047,0.059,11.562,0.109,0.524,0.082,14.418,0.05,NA,14788798.314
"132",132,3.521,0.05,8.941,0.094,-1.829,0.084,13.707,0.048,NA,14788798.314
"133",133,2.967,0.101,8.531,0.122,-2.531,0.125,13.615,0.054,15323175.556,15323175.556
"134",134,2.867,0.17,8.579,0.145,-2.723,0.199,13.627,0.067,NA,15323175.556
"135",135,5.001,0.063,10.967,0.154,-0.896,0.11,14.254,0.049,NA,15323175.556
"136",136,8.339,0.067,14.267,0.09,2.516,0.251,15.227,0.049,NA,15323175.556
"137",137,11.211,0.112,17.186,0.12,5.384,0.159,15.963,0.058,NA,15323175.556
"138",138,13.099,0.104,18.992,0.227,7.436,0.126,16.539,0.059,NA,15323175.556
"139",139,14.139,0.106,19.984,0.142,8.511,0.125,16.846,0.061,NA,15323175.556
"140",140,13.879,0.076,19.593,0.122,8.086,0.082,16.752,0.056,NA,15323175.556
"141",141,12.139,0.129,17.918,0.317,6.463,0.303,16.22,0.062,NA,15323175.556
"142",142,9.388,0.106,15.146,0.127,3.809,0.16,15.298,0.056,NA,15323175.556
"143",143,6.295,0.076,11.842,0.112,0.931,0.131,14.399,0.052,NA,15323175.556
"144",144,3.867,0.065,9.228,0.118,-1.439,0.126,13.66,0.051,NA,15323175.556
"145",145,1.882,0.086,7.392,0.143,-3.549,0.205,13.298,0.053,15957192.522,15957192.522
"146",146,2.609,0.105,8.219,0.113,-3.115,0.199,13.644,0.054,NA,15957192.522
"147",147,5.287,0.05,11.169,0.087,-0.672,0.152,14.446,0.048,NA,15957192.522
"148",148,8.337,0.067,14.148,0.123,2.498,0.11,15.291,0.051,NA,15957192.522
"149",149,11.155,0.091,16.968,0.125,5.361,0.196,16.095,0.058,NA,15957192.522
"150",150,13.501,0.113,19.231,0.156,7.627,0.127,16.729,0.061,NA,15957192.522
"151",151,14.231,0.118,20.037,0.123,8.568,0.104,16.956,0.063,NA,15957192.522
"152",152,14.171,0.096,19.88,0.154,8.386,0.19,16.978,0.057,NA,15957192.522
"153",153,11.901,0.126,17.529,0.2,6.166,0.217,16.27,0.061,NA,15957192.522
"154",154,9.346,0.141,15.057,0.198,3.84,0.232,15.438,0.064,NA,15957192.522
"155",155,5.797,0.079,11.167,0.094,0.52,0.129,14.419,0.05,NA,15957192.522
"156",156,3.778,0.072,9.182,0.181,-1.492,0.084,13.951,0.05,NA,15957192.522
"157",157,3.038,0.092,8.492,0.152,-2.308,0.104,13.774,0.052,16822109.477,16822109.477
"158",158,3.898,0.161,9.496,0.135,-1.654,0.087,14.14,0.064,NA,16822109.477
"159",159,5.82,0.096,11.605,0.212,0.109,0.142,14.663,0.052,NA,16822109.477
"160",160,8.938,0.103,14.51,0.108,3.107,0.106,15.528,0.055,NA,16822109.477
"161",161,11.769,0.082,17.417,0.158,5.926,0.164,16.288,0.053,NA,16822109.477
"162",162,13.824,0.085,19.497,0.126,8.155,0.122,16.795,0.052,NA,16822109.477
"163",163,14.435,0.129,20.112,0.093,8.989,0.11,17.002,0.061,NA,16822109.477
"164",164,13.869,0.151,19.707,0.149,8.427,0.133,16.889,0.062,NA,16822109.477
"165",165,12.125,0.081,17.815,0.168,6.504,0.102,16.267,0.054,NA,16822109.477
"166",166,9.609,0.064,15.182,0.111,3.913,0.095,15.419,0.053,NA,16822109.477
"167",167,6.222,0.083,11.667,0.052,0.788,0.202,14.381,0.05,NA,16822109.477
"168",168,3.832,0.082,9.292,0.111,-1.514,0.073,13.711,0.051,NA,16822109.477
"169",169,2.261,0.096,7.464,0.109,-2.894,0.096,13.3,0.052,16850822.087,16850822.087
"170",170,2.582,0.127,8.118,0.093,-2.926,0.074,13.49,0.057,NA,16850822.087
"171",171,5.19,0.114,10.966,0.134,-0.495,0.098,14.267,0.054,NA,16850822.087
"172",172,8.386,0.091,14.179,0.078,2.59,0.117,15.182,0.053,NA,16850822.087
"173",173,11.198,0.087,16.932,0.121,5.47,0.093,15.957,0.053,NA,16850822.087
"174",174,13.382,0.131,19.235,0.099,7.591,0.085,16.616,0.063,NA,16850822.087
"175",175,14.288,0.059,19.925,0.128,8.654,0.109,16.846,0.053,NA,16850822.087
"176",176,14.016,0.105,19.652,0.158,8.391,0.13,16.912,0.06,NA,16850822.087
"177",177,11.744,0.135,17.43,0.18,6.14,0.22,16.197,0.065,NA,16850822.087
"178",178,9.098,0.059,14.884,0.079,3.423,0.112,15.274,0.051,NA,16850822.087
"179",179,5.915,0.123,11.459,0.138,0.389,0.163,14.32,0.057,NA,16850822.087
"180",180,3.55,0.127,8.739,0.155,-1.522,0.126,13.656,0.057,NA,16850822.087
"181",181,3.059,0.078,8.484,0.071,-2.257,0.121,13.621,0.051,16745791.873,16745791.873
"182",182,3.395,0.107,9.026,0.133,-2.096,0.095,13.857,0.053,NA,16745791.873
"183",183,5.706,0.07,11.384,0.103,-0.15,0.098,14.538,0.048,NA,16745791.873
"184",184,8.584,0.066,14.399,0.066,2.882,0.088,15.297,0.049,NA,16745791.873
"185",185,11.742,0.087,17.484,0.198,5.842,0.145,16.136,0.054,NA,16745791.873
"186",186,13.557,0.109,19.275,0.161,7.796,0.197,16.682,0.057,NA,16745791.873
"187",187,14.351,0.096,20.051,0.18,8.637,0.141,16.877,0.059,NA,16745791.873
"188",188,13.514,0.219,19.248,0.244,7.892,0.107,16.665,0.079,NA,16745791.873
"189",189,12.152,0.127,17.804,0.115,6.54,0.096,16.216,0.061,NA,16745791.873
"190",190,9.318,0.064,14.908,0.154,3.671,0.215,15.292,0.053,NA,16745791.873
"191",191,5.893,0.056,11.462,0.086,0.332,0.127,14.126,0.049,NA,16745791.873
"192",192,3.667,0.086,9.079,0.088,-1.636,0.103,13.557,0.051,NA,16745791.873
"193",193,2.884,0.068,8.398,0.079,-2.452,0.11,13.442,0.05,17726098.317,17726098.317
"194",194,3.031,0.069,8.509,0.104,-2.443,0.094,13.619,0.05,NA,17726098.317
"195",195,4.517,0.06,10.305,0.082,-1.204,0.082,14.124,0.049,NA,17726098.317
"196",196,8.294,0.086,14.177,0.132,2.489,0.106,15.135,0.053,NA,17726098.317
"197",197,10.942,0.163,16.728,0.149,5.176,0.108,15.778,0.067,NA,17726098.317
"198",198,13.086,0.103,18.954,0.173,7.345,0.13,16.448,0.06,NA,17726098.317
"199",199,14.155,0.18,19.852,0.245,8.349,0.221,16.864,0.073,NA,17726098.317
"200",200,13.511,0.17,19.163,0.234,7.646,0.222,16.671,0.072,NA,17726098.317
"201",201,11.895,0.053,17.74,0.079,6.197,0.1,16.185,0.056,NA,17726098.317
"202",202,8.511,0.111,14.028,0.253,3.113,0.22,15.167,0.059,NA,17726098.317
"203",203,5.66,0.062,11.156,0.124,0.302,0.164,14.299,0.05,NA,17726098.317
"204",204,3.681,0.082,9.086,0.155,-1.708,0.16,13.841,0.05,NA,17726098.317
"205",205,2.492,0.087,7.764,0.197,-2.648,0.16,13.647,0.05,18279804.316,18279804.316
"206",206,3.471,0.12,9.135,0.088,-2.152,0.145,14.001,0.056,NA,18279804.316
"207",207,5.702,0.11,11.581,0.123,-0.035,0.168,14.639,0.055,NA,18279804.316
"208",208,8.85,0.064,14.751,0.092,3.058,0.081,15.47,0.049,NA,18279804.316
"209",209,11.78,0.133,17.594,0.163,6.009,0.227,16.286,0.061,NA,18279804.316
"210",210,13.876,0.11,19.628,0.173,8.058,0.184,16.846,0.056,NA,18279804.316
"211",211,14.631,0.111,20.327,0.122,8.971,0.206,17.047,0.06,NA,18279804.316
"212",212,14.09,0.078,19.673,0.162,8.464,0.134,16.979,0.053,NA,18279804.316
"213",213,11.862,0.065,17.535,0.073,6.35,0.111,16.312,0.054,NA,18279804.316
"214",214,9.156,0.041,14.875,0.106,3.586,0.09,15.387,0.049,NA,18279804.316
"215",215,6.544,0.062,11.962,0.101,1.259,0.07,14.544,0.048,NA,18279804.316
"216",216,3.749,0.035,9.001,0.1,-1.385,0.139,13.741,0.045,NA,18279804.316
"217",217,2.705,0.095,8.006,0.078,-2.52,0.078,13.587,0.054,18497906.475,18497906.475
"218",218,3.456,0.137,9.006,0.2,-2.149,0.2,13.904,0.06,NA,18497906.475
"219",219,5.607,0.097,11.344,0.055,-0.074,0.174,14.555,0.052,NA,18497906.475
"220",220,8.791,0.088,14.628,0.344,3.084,0.416,15.372,0.05,NA,18497906.475
"221",221,11.414,0.139,17.131,0.236,5.723,0.314,16.101,0.061,NA,18497906.475
"222",222,13.22,0.106,18.891,0.164,7.715,0.213,16.601,0.057,NA,18497906.475
"223",223,14.364,0.158,19.911,0.132,8.894,0.237,16.935,0.067,NA,18497906.475
"224",224,13.297,0.099,18.974,0.155,7.681,0.173,16.623,0.056,NA,18497906.475
"225",225,12.03,0.096,17.64,0.164,6.431,0.127,16.281,0.058,NA,18497906.475
"226",226,9.339,0.082,14.964,0.145,3.803,0.15,15.337,0.054,NA,18497906.475
"227",227,6.35,0.081,11.685,0.112,1.08,0.126,14.522,0.05,NA,18497906.475
"228",228,3.74,0.068,9.195,0.085,-1.617,0.093,13.793,0.047,NA,18497906.475
"229",229,2.679,0.083,8.071,0.125,-2.625,0.1,13.63,0.048,19533547.949,19533547.949
"230",230,2.841,0.089,8.525,0.076,-2.759,0.147,13.768,0.047,NA,19533547.949
"231",231,5.474,0.102,11.331,0.187,-0.129,0.272,14.565,0.051,NA,19533547.949
"232",232,8.455,0.078,14.273,0.258,2.623,0.303,15.391,0.046,NA,19533547.949
"233",233,11.199,0.149,17.139,0.198,5.712,0.212,16.076,0.058,NA,19533547.949
"234",234,13.487,0.067,19.366,0.213,7.818,0.215,16.772,0.043,NA,19533547.949
"235",235,14.114,0.054,19.945,0.109,8.491,0.117,16.992,0.042,NA,19533547.949
"236",236,13.833,0.087,19.623,0.16,8.266,0.181,16.978,0.046,NA,19533547.949
"237",237,12.247,0.091,18.059,0.18,6.714,0.24,16.45,0.048,NA,19533547.949
"238",238,9.586,0.09,15.354,0.116,4.054,0.125,15.557,0.049,NA,19533547.949
"239",239,6.286,0.079,11.807,0.13,0.905,0.051,14.609,0.047,NA,19533547.949
"240",240,4.6,0.068,10,0.115,-0.669,0.051,14.182,0.045,NA,19533547.949
"241",241,2.956,0.087,8.468,0.08,-2.457,0.124,13.812,0.049,19324327.264,19324327.264
"242",242,3.652,0.099,9.26,0.129,-1.864,0.115,14.112,0.05,NA,19324327.264
"243",243,5.367,0.103,11.24,0.16,-0.379,0.126,14.646,0.052,NA,19324327.264
"244",244,8.935,0.106,14.821,0.129,3.109,0.175,15.578,0.052,NA,19324327.264
"245",245,11.77,0.089,17.713,0.234,6.131,0.172,16.314,0.05,NA,19324327.264
"246",246,13.582,0.134,19.375,0.185,7.901,0.299,16.806,0.058,NA,19324327.264
"247",247,14.742,0.144,20.466,0.179,9.102,0.214,17.171,0.06,NA,19324327.264
"248",248,14.189,0.221,19.814,0.117,8.563,0.089,17.049,0.077,NA,19324327.264
"249",249,12.321,0.08,18.121,0.152,6.642,0.146,16.427,0.051,NA,19324327.264
"250",250,9.55,0.064,15.17,0.118,4.051,0.112,15.45,0.048,NA,19324327.264
"251",251,6.684,0.094,12.196,0.183,1.334,0.143,14.645,0.051,NA,19324327.264
"252",252,4.016,0.059,9.431,0.165,-1.277,0.086,13.892,0.046,NA,19324327.264
"253",253,3.785,0.121,9.267,0.193,-1.298,0.153,13.963,0.055,18726246.898,18726246.898
"254",254,4.021,0.139,9.689,0.133,-1.41,0.119,14.073,0.059,NA,18726246.898
"255",255,6.239,0.035,12.05,0.063,0.554,0.161,14.769,0.045,NA,18726246.898
"256",256,8.953,0.08,14.817,0.206,3.131,0.25,15.432,0.05,NA,18726246.898
"257",257,11.565,0.084,17.471,0.33,5.901,0.345,16.198,0.049,NA,18726246.898
"258",258,13.765,0.122,19.611,0.126,8.065,0.148,16.932,0.058,NA,18726246.898
"259",259,14.738,0.082,20.398,0.122,9.208,0.132,17.217,0.054,NA,18726246.898
"260",260,14.502,0.099,20.293,0.092,8.977,0.081,17.123,0.055,NA,18726246.898
"261",261,12.236,0.118,17.95,0.098,6.646,0.139,16.466,0.058,NA,18726246.898
"262",262,9.394,0.059,14.979,0.096,3.765,0.066,15.453,0.05,NA,18726246.898
"263",263,6.273,0.058,11.669,0.114,0.97,0.099,14.47,0.047,NA,18726246.898
"264",264,4.519,0.05,10.068,0.094,-0.878,0.076,14.098,0.048,NA,18726246.898
"265",265,2.558,0.08,8.09,0.13,-2.777,0.097,13.587,0.053,18562354,18562354
"266",266,3.281,0.077,8.843,0.076,-2.075,0.07,13.852,0.053,NA,18562354
"267",267,4.873,0.087,10.667,0.139,-0.722,0.137,14.337,0.054,NA,18562354
"268",268,8.465,0.093,14.388,0.223,2.89,0.433,15.33,0.054,NA,18562354
"269",269,11.348,0.09,17.149,0.305,5.727,0.283,16.144,0.054,NA,18562354
"270",270,13.245,0.071,19.083,0.234,7.556,0.251,16.625,0.053,NA,18562354
"271",271,14.545,0.073,20.311,0.301,9.019,0.397,17,0.058,NA,18562354
"272",272,13.796,0.067,19.534,0.166,8.465,0.217,16.867,0.054,NA,18562354
"273",273,12.039,0.067,17.75,0.155,6.675,0.213,16.354,0.055,NA,18562354
"274",274,9.232,0.066,14.845,0.129,3.917,0.139,15.493,0.054,NA,18562354
"275",275,5.961,0.111,11.314,0.117,0.909,0.184,14.446,0.057,NA,18562354
"276",276,4.327,0.11,9.637,0.077,-0.705,0.064,14.068,0.058,NA,18562354
"277",277,3.445,0.115,8.747,0.084,-1.65,0.08,13.979,0.057,18484356.91,18484356.91
"278",278,3.814,0.173,9.427,0.088,-1.592,0.085,14.169,0.068,NA,18484356.91
"279",279,5.699,0.09,11.503,0.055,0.097,0.091,14.683,0.053,NA,18484356.91
"280",280,8.693,0.05,14.45,0.092,3.053,0.134,15.468,0.048,NA,18484356.91
"281",281,11.729,0.106,17.477,0.136,6.144,0.187,16.34,0.056,NA,18484356.91
"282",282,13.478,0.124,19.217,0.147,7.819,0.17,16.786,0.061,NA,18484356.91
"283",283,14.408,0.07,20.139,0.138,8.829,0.115,17.068,0.054,NA,18484356.91
"284",284,14.302,0.061,20.105,0.177,8.729,0.1,17.145,0.052,NA,18484356.91
"285",285,12.698,0.098,18.412,0.093,7.08,0.16,16.573,0.059,NA,18484356.91
"286",286,9.478,0.096,15.097,0.088,4.011,0.155,15.498,0.058,NA,18484356.91
"287",287,6.765,0.091,12.334,0.151,1.421,0.134,14.648,0.054,NA,18484356.91
"288",288,3.829,0.054,9.25,0.127,-1.312,0.08,13.886,0.05,NA,18484356.91
"289",289,2.941,0.081,8.338,0.111,-2.235,0.085,13.701,0.052,19145865.375,19145865.375
"290",290,3.093,0.101,8.786,0.136,-2.452,0.169,13.878,0.056,NA,19145865.375
"291",291,5.671,0.084,11.541,0.1,-0.078,0.06,14.608,0.056,NA,19145865.375
"292",292,8.432,0.163,14.335,0.23,2.608,0.209,15.37,0.068,NA,19145865.375
"293",293,11.976,0.061,17.86,0.115,6.211,0.138,16.295,0.052,NA,19145865.375
"294",294,13.387,0.191,19.05,0.127,7.662,0.167,16.668,0.073,NA,19145865.375
"295",295,14.429,0.137,20.109,0.075,8.958,0.191,16.961,0.063,NA,19145865.375
